transectName,transectID,forest_edge,det1,det2,det3,det4,det5,det6,ydate1,ydate2,ydate3,ydate4,ydate5,ydate6,min1,min2,min3,min4,min5,min6
InteriorForestTrail1,T1,1,0,1,1,0,0,0,60,119,179,235,295,353,60,90,90,60,60,50
InteriorForestTrail2,T2,1,0,1,1,1,1,0,60,119,179,235,295,353,60,90,90,90,60,90
InteriorForestPond1,T3,0,0,0,0,1,0,0,61,120,180,236,296,354,60,90,90,60,60,50
InteriorForestPond2,T4,0,0,0,0,0,0,0,62,121,181,237,297,355,60,90,90,90,60,90
InteriorForestPond3,T5,0,0,0,0,,0,0,62,121,181,,297,355,60,90,90,,60,50
CentralCityPark1,T6,0,0,1,0,0,0,0,60,119,179,235,295,353,60,90,90,90,60,90
CentralCityPark2,T7,1,1,0,1,1,1,0,59,118,178,234,294,352,60,90,90,90,90,50
CoastalForest1,T8,1,0,1,1,1,0,0,59,118,178,234,294,352,60,90,90,90,60,90
CoastalForest2,T9,1,1,1,1,1,1,0,58,117,177,233,293,351,60,60,60,60,60,50
CoastalForest3,T10,0,0,0,0,1,,0,60,119,179,235,,353,60,90,90,90,,90
CampusScienceBuilding1,T11,1,0,1,1,1,0,0,61,120,180,236,296,354,60,90,90,60,60,50
CampusScienceBuilding2,T12,1,0,1,1,1,0,0,63,122,182,238,298,356,60,90,90,90,60,90
CampusScienceBuilding3,T13,0,0,0,1,0,0,0,63,122,182,238,298,356,60,90,90,60,60,50
ParkingLot1,T14,0,0,0,0,0,0,0,64,123,183,239,299,357,60,90,90,90,60,90
